travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
4.1,0,Human,0,0,0,99,-4.1,"-24.08638137551717,-24.71297582724307,-23.920283991681025"
1.2833333333333334,1,Human,0,1,0,58,-1.2833333333333334,"-8.760047505453741,-8.732039385660002,-8.57809278234835"
4.45,2,Human,2,0,0,112,-4.45,"-25.99473398936293,-27.347810133492874,-26.31121449219422"
5.666666666666667,3,Human,2,0,0,118,-5.666666666666667,"-27.915871868860467,-28.88920676730646,-28.794077531285197"
1.4166666666666667,4,Human,0,1,0,31,-1.4166666666666667,"-8.479327251451375,-8.117279420204412,-8.68858793631297"
1.7,5,Human,0,0,0,50,-1.7,"-11.437174650973194,-11.757134260663067,-11.09834703401289"
3.85,6,Human,0,0,0,93,-3.85,"-20.72827192798967,-20.39556219208544,-20.764952013172238"
5.416666666666667,7,Human,1,0,0,80,-5.416666666666667,"-17.538637363364224,-18.554776923647577,-17.148308062465247"
3.75,8,Human,2,1,0,89,-3.75,"-15.04522845893562,-15.241674862895689,-15.848489424956867"
3.7666666666666666,9,Human,0,1,1,64,-3.7666666666666666,"-24.252184622367082,-24.70510548256461,-23.470984368410875"
5.483333333333333,10,Human,2,0,0,116,-5.483333333333333,"-27.14189914498906,-28.143561679781623,-28.07994706173952"
5.916666666666667,11,Human,0,1,1,113,-5.916666666666667,"-35.07923230486425,-34.00285153365923,-33.78687881476471"
3.75,12,Human,2,1,0,91,-3.75,"-15.03713254917953,-15.357284566240178,-16.16212578859323"
5.366666666666666,13,Human,2,0,1,123,-5.366666666666666,"-24.741204567019718,-24.860580320607237,-26.126223014306117"
4.05,14,Human,0,0,0,104,-4.05,"-24.17343075781188,-24.551056528564573,-23.67235926420351"
2.1166666666666667,15,Human,0,1,0,64,-2.1166666666666667,"-12.821484349116753,-12.733664537495628,-13.59343672327667"
7.6,16,Human,1,1,1,101,-7.6,"-31.574398516552694,-32.665320583296484,-31.558577105202392"
3.466666666666667,17,Human,1,1,0,61,-3.466666666666667,"-13.150956238941992,-14.206324888953116,-14.307639631661168"
4.683333333333334,18,Human,2,1,0,116,-4.683333333333334,"-18.79334241278825,-19.235270374092003,-19.566640452732322"
3.7333333333333334,19,Human,2,1,0,88,-3.7333333333333334,"-14.544764326197406,-14.780926433213635,-15.370436023660908"
6.516666666666667,20,Human,1,1,1,84,-6.516666666666667,"-28.356807812632717,-29.664957989480502,-29.10835995753628"
3.85,21,Human,2,0,0,69,-3.85,"-17.97475195269493,-18.276391813840178,-18.321117186154442"
5.566666666666666,22,Human,2,0,0,126,-5.566666666666666,"-27.36800775226542,-29.25669612022319,-28.269535481548573"
3.6166666666666667,23,Human,2,1,0,85,-3.6166666666666667,"-14.728612387276273,-14.367795390446808,-15.414084619349506"
5.416666666666667,24,Human,1,0,0,77,-5.416666666666667,"-17.22996424860304,-18.559975543401162,-17.237400101645353"
4.966666666666667,25,Human,0,1,1,79,-4.966666666666667,"-28.53407381510135,-28.399234377201502,-27.18950467502582"
7.616666666666666,26,Human,1,1,1,105,-7.616666666666666,"-32.460239902782774,-34.793881325437425,-33.27333307189441"
3.9,27,Human,0,0,1,100,-3.9,"-20.02313549592806,-18.894256373102024,-19.74628881765531"
4.516666666666667,28,Human,2,1,0,102,-4.516666666666667,"-16.73439027078063,-16.67910651055192,-17.733078160229287"
2.9166666666666665,29,Human,1,1,0,102,-2.9166666666666665,"-15.960226458261058,-16.53581223309917,-16.30386014795117"
5.3,30,Human,0,0,0,154,-5.3,"-30.381478017914084,-30.248337486779313,-29.380380951994535"
2.9,31,Human,1,0,1,77,-2.9,"-13.392922976860516,-14.221707840733888,-13.589309428577208"
5.05,32,Human,0,1,1,74,-5.05,"-25.223879641207223,-24.040717435177523,-23.896874516616048"
1.6166666666666667,33,Human,0,0,1,65,-1.6166666666666667,"-10.40309693395459,-10.099222597185477,-10.649473351268233"
7.116666666666666,34,Human,1,0,0,108,-7.116666666666666,"-25.055596956902676,-27.110646575279613,-26.317693916565478"
5.033333333333333,35,Human,0,0,1,123,-5.033333333333333,"-26.40121511012447,-25.031010291979577,-24.915494466872893"
6.516666666666667,36,Human,1,1,1,86,-6.516666666666667,"-28.53769938384308,-29.534141256767533,-28.332006086833044"
4.8,37,Human,1,0,0,64,-4.8,"-12.616150901494292,-14.008082231057003,-12.955737302048624"
3.433333333333333,38,Human,1,1,0,65,-3.433333333333333,"-13.78770688589162,-14.619031272784769,-13.724104181188128"
