,reward,action,kind
0,-0.4333333333333333,0,Human
1,-0.5166666666666667,0,Human
2,-0.45,0,Human
3,-0.7833333333333333,0,Human
4,-1.0,1,AV
5,-0.5333333333333333,0,Human
6,-0.9,1,AV
7,-0.5,0,AV
8,-0.4833333333333333,0,AV
9,-0.5833333333333334,0,AV
10,-1.3666666666666667,1,AV
11,-1.4,1,AV
12,-1.2666666666666666,1,AV
13,-0.7166666666666667,0,AV
14,-0.4833333333333333,0,AV
