travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
5.833333333333333,29,AV,0,0,0,150,-5.833333333333333,"0,0"
2.9,18,AV,0,0,0,76,-2.9,"0,0"
2.283333333333333,4,AV,1,0,0,125,-2.283333333333333,"0,0"
2.3,27,AV,1,0,0,128,-2.3,"0,0"
1.0333333333333334,17,AV,1,0,0,71,-1.0333333333333334,"0,0"
5.733333333333333,6,AV,0,0,0,159,-5.733333333333333,"0,0"
4.333333333333333,26,AV,0,0,0,94,-4.333333333333333,"0,0"
3.55,21,AV,0,0,0,91,-3.55,"0,0"
4.333333333333333,10,AV,0,0,0,92,-4.333333333333333,"0,0"
5.216666666666667,3,AV,0,0,0,143,-5.216666666666667,"0,0"
0.8,0,Human,0,0,0,56,-0.8,"-0.2217422606191504,-0.4540436765058795"
0.9,1,Human,0,0,0,48,-0.9,"-0.2217422606191504,-0.4540436765058795"
4.616666666666666,2,Human,0,0,0,125,-4.616666666666666,"-0.2217422606191504,-0.4540436765058795"
5.216666666666667,5,Human,0,0,0,141,-5.216666666666667,"-0.2217422606191504,-0.4540436765058795"
5.333333333333333,7,Human,0,0,0,131,-5.333333333333333,"-0.2217422606191504,-0.4540436765058795"
2.85,8,Human,0,0,0,82,-2.85,"-0.2217422606191504,-0.4540436765058795"
4.6,9,Human,0,0,0,130,-4.6,"-0.2217422606191504,-0.4540436765058795"
0.8833333333333333,11,Human,0,0,0,47,-0.8833333333333333,"-0.2217422606191504,-0.4540436765058795"
1.6,12,Human,0,0,0,58,-1.6,"-0.2217422606191504,-0.4540436765058795"
2.9166666666666665,13,Human,0,0,0,77,-2.9166666666666665,"-0.2217422606191504,-0.4540436765058795"
2.2,14,Human,0,0,0,72,-2.2,"-0.2217422606191504,-0.4540436765058795"
3.5166666666666666,15,Human,0,0,0,90,-3.5166666666666666,"-0.2217422606191504,-0.4540436765058795"
2.283333333333333,16,Human,0,0,0,64,-2.283333333333333,"-0.2217422606191504,-0.4540436765058795"
3.55,19,Human,0,0,0,92,-3.55,"-0.2217422606191504,-0.4540436765058795"
2.216666666666667,20,Human,0,0,0,70,-2.216666666666667,"-0.2217422606191504,-0.4540436765058795"
1.5833333333333333,22,Human,0,0,0,56,-1.5833333333333333,"-0.2217422606191504,-0.4540436765058795"
1.5333333333333334,23,Human,0,0,0,63,-1.5333333333333334,"-0.2217422606191504,-0.4540436765058795"
4.883333333333334,24,Human,0,0,0,107,-4.883333333333334,"-0.2217422606191504,-0.4540436765058795"
4.3,25,Human,0,0,0,92,-4.3,"-0.2217422606191504,-0.4540436765058795"
0.43333333333333335,28,Human,0,0,0,23,-0.43333333333333335,"-0.2217422606191504,-0.4540436765058795"
