id,0,1,2,3,4,5,6,7,8,9
0,-0.6166666666666667,-0.7166666666666667,-0.7833333333333333,-0.8,-1.3,-1.3166666666666669,-1.4,-1.35,-1.3833333333333333,-1.3666666666666667
1,-0.6166666666666667,-0.7166666666666667,-0.7833333333333333,-0.8,-1.3,-1.3166666666666669,-1.4,-1.35,-1.3833333333333333,-1.6
2,-0.6166666666666667,-0.7166666666666667,-0.7833333333333333,-0.8,-1.3,-1.3166666666666669,-1.4,-1.35,-1.7166666666666666,-1.3333333333333333
3,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-2.583333333333333,-2.533333333333333,-1.7166666666666666,-2.1166666666666667
4,-0.6166666666666667,-0.7166666666666667,-0.7833333333333333,-0.8,-1.3,-1.3166666666666669,-1.4,-1.75,-1.35,-1.35
5,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-2.583333333333333,-1.7666666666666666,-2.533333333333333,-2.1166666666666667
6,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-2.583333333333333,-1.7666666666666666,-1.7666666666666666,-2.4833333333333334
7,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-2.583333333333333,-1.7666666666666666,-1.75,-1.7
8,-0.6166666666666667,-0.7166666666666667,-0.7833333333333333,-0.8,-1.3,-1.3166666666666669,-1.8833333333333333,-1.3166666666666669,-1.35,-1.3333333333333333
9,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-1.8833333333333333,-2.5,-2.533333333333333,-2.1
10,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-1.8833333333333333,-2.5,-1.7666666666666666,-2.4833333333333334
11,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-1.8833333333333333,-2.5,-1.7666666666666666,-1.7166666666666666
12,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-1.8833333333333333,-1.8,-2.5,-2.4833333333333334
13,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7166666666666666,-1.8833333333333333,-1.8166666666666669,-2.5,-1.7166666666666666
14,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.7,-1.8833333333333333,-1.8166666666666669,-1.8166666666666669,-2.466666666666667
15,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.6833333333333331,-1.7,-1.8833333333333333,-1.8166666666666669,-1.8166666666666669,-1.75
16,-0.6166666666666667,-0.7166666666666667,-0.7833333333333333,-0.8,-1.3166666666666669,-1.9,-1.3833333333333333,-1.3333333333333333,-1.35,-1.35
17,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-2.55,-2.5,-2.5166666666666666,-2.1166666666666667
18,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.6833333333333331,-1.3,-2.55,-2.5,-1.7166666666666666,-2.4833333333333334
19,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.6833333333333331,-1.3,-2.55,-2.5,-1.7166666666666666,-1.6833333333333331
20,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-2.55,-1.75,-2.4833333333333334,-2.4833333333333334
21,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-2.55,-1.75,-2.5,-1.6833333333333331
22,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-1.7666666666666666,-1.7666666666666666,-1.75,-2.433333333333333
23,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-2.55,-1.75,-1.7666666666666666,-1.7166666666666666
24,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.6833333333333331,-1.3,-1.8833333333333333,-2.466666666666667,-2.4833333333333334,-2.4833333333333334
25,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.6833333333333331,-1.3,-1.8833333333333333,-2.466666666666667,-2.5,-1.6666666666666667
26,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-1.8833333333333333,-2.466666666666667,-1.75,-2.45
27,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-1.8666666666666667,-2.466666666666667,-1.7666666666666666,-1.7166666666666666
28,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-1.8666666666666667,-1.8166666666666669,-2.466666666666667,-2.45
29,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-1.8666666666666667,-1.8166666666666669,-2.466666666666667,-1.7166666666666666
30,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-1.8833333333333333,-1.8,-1.8,-2.4166666666666665
31,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.7,-1.3,-1.8666666666666667,-1.8166666666666669,-1.8166666666666669,-1.75
32,-0.6166666666666667,-0.7166666666666667,-0.7833333333333333,-0.8,-1.9166666666666667,-1.3,-1.3833333333333333,-1.3333333333333333,-1.35,-1.35
33,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-2.55,-2.5,-2.533333333333333,-2.1166666666666667
34,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-2.55,-2.5,-1.7,-2.4833333333333334
35,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-2.55,-2.5,-1.7166666666666666,-1.6666666666666667
36,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-2.55,-1.75,-2.4833333333333334,-2.4833333333333334
37,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-2.55,-1.7666666666666666,-2.5,-1.6666666666666667
38,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.7666666666666666,-1.7666666666666666,-1.75,-2.4166666666666665
39,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-2.55,-1.75,-1.7666666666666666,-1.7166666666666666
40,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.8833333333333333,-2.433333333333333,-2.466666666666667,-2.466666666666667
41,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.8833333333333333,-2.433333333333333,-2.466666666666667,-1.6666666666666667
42,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.8833333333333333,-2.466666666666667,-1.75,-2.45
43,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.8666666666666667,-2.466666666666667,-1.7666666666666666,-1.7166666666666666
44,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.8833333333333333,-1.8166666666666669,-2.466666666666667,-2.45
45,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.8833333333333333,-1.8,-2.466666666666667,-1.7166666666666666
46,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.8666666666666667,-1.8166666666666669,-1.8166666666666669,-2.4166666666666665
47,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.6833333333333331,-1.8833333333333333,-1.8166666666666669,-1.8,-1.75
48,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.75,-2.466666666666667,-2.5,-2.4833333333333334
49,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.75,-2.466666666666667,-2.5,-1.6166666666666667
50,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.7333333333333334,-2.466666666666667,-1.7166666666666666,-2.45
51,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.7333333333333334,-2.466666666666667,-1.7166666666666666,-1.6666666666666667
52,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.7333333333333334,-1.7666666666666666,-2.466666666666667,-2.45
53,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.7333333333333334,-1.7666666666666666,-2.466666666666667,-1.6666666666666667
54,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.75,-1.7666666666666666,-1.7666666666666666,-2.4166666666666665
55,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.7333333333333334,-1.7666666666666666,-1.7666666666666666,-1.7166666666666666
56,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.8833333333333333,-2.433333333333333,-2.466666666666667,-2.45
57,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.8833333333333333,-2.433333333333333,-2.466666666666667,-1.6666666666666667
58,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.8833333333333333,-2.433333333333333,-1.7666666666666666,-2.4166666666666665
59,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.8833333333333333,-2.433333333333333,-1.7666666666666666,-1.7
60,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.8833333333333333,-1.8166666666666669,-2.433333333333333,-2.4166666666666665
61,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.8833333333333333,-1.8166666666666669,-2.433333333333333,-1.7166666666666666
62,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.8833333333333333,-1.8166666666666669,-1.8,-2.3833333333333333
63,-0.8,-0.8333333333333334,-1.6333333333333333,-1.65,-1.2666666666666666,-1.3166666666666669,-1.9,-1.8166666666666669,-1.8,-1.7666666666666666
64,-0.6166666666666667,-0.7166666666666667,-0.7833333333333333,-1.95,-1.3,-1.3166666666666669,-1.4,-1.35,-1.3666666666666667,-1.3666666666666667
65,-0.8,-0.8333333333333334,-1.6333333333333333,-1.2333333333333334,-1.6666666666666667,-1.6666666666666667,-2.55,-2.5,-2.5166666666666666,-2.1166666666666667
66,-0.8,-0.8333333333333334,-1.6333333333333333,-1.2333333333333334,-1.6666666666666667,-1.6833333333333331,-2.55,-2.5,-1.7166666666666666,-2.4833333333333334
67,-0.8,-0.8333333333333334,-1.6333333333333333,-1.2333333333333334,-1.6666666666666667,-1.6833333333333331,-2.55,-2.5,-1.7166666666666666,-1.6833333333333331
68,-0.8,-0.8333333333333334,-1.6333333333333333,-1.2333333333333334,-1.65,-1.6666666666666667,-2.55,-1.7666666666666666,-2.5,-2.4833333333333334
69,-0.8,-0.8333333333333334,-1.6333333333333333,-1.2333333333333334,-1.65,-1.6666666666666667,-2.55,-1.7666666666666666,-2.5,-1.6666666666666667
70,-0.8,-0.8333333333333334,-1.6333333333333333,-1.2333333333333334,-1.6666666666666667,-1.6666666666666667,-2.55,-1.7666666666666666,-1.75,-2.45
71,-0.8,-0.8333333333333334,-1.6333333333333333,-1.2333333333333334,-1.6666666666666667,-1.6833333333333331,-2.55,-1.7666666666666666,-1.7666666666666666,-1.7166666666666666
