id,0,1,2,3,4,5,6,7,8,9
0,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.3833333333333333,-2.4166666666666665,-2.35,-2.5166666666666666
1,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.3833333333333333,-2.433333333333333,-2.3666666666666667,-2.816666666666667
2,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.3833333333333333,-2.8833333333333333,-2.3666666666666667,-2.5
3,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.3833333333333333,-2.8833333333333333,-2.3666666666666667,-2.8666666666666667
4,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.8666666666666667,-2.4,-2.3666666666666667,-2.5
5,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.8666666666666667,-2.3833333333333333,-2.3666666666666667,-2.8666666666666667
6,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.8666666666666667,-2.933333333333333,-2.35,-2.45
7,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.8666666666666667,-2.933333333333333,-2.3666666666666667,-2.9
8,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.3666666666666667,-2.3833333333333333,-2.8833333333333333,-2.4833333333333334
9,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.3666666666666667,-2.3833333333333333,-2.8833333333333333,-2.8666666666666667
10,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.35,-2.933333333333333,-2.8833333333333333,-2.466666666666667
11,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.3666666666666667,-2.933333333333333,-2.8833333333333333,-2.9166666666666665
12,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.9166666666666665,-2.3666666666666667,-2.8833333333333333,-2.466666666666667
13,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.9166666666666665,-2.3666666666666667,-2.8833333333333333,-2.9166666666666665
14,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.9,-2.966666666666667,-2.8666666666666667,-2.433333333333333
15,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.6833333333333331,-2.9166666666666665,-2.9833333333333334,-2.8833333333333333,-2.95
16,-0.7,-0.7333333333333333,-1.3833333333333333,-1.5,-1.6666666666666667,-1.9,-2.35,-2.3833333333333333,-2.316666666666667,-2.5
