id,0,1,2,3,4,5,6,7,8,9
0,-0.7,-0.7333333333333333,-1.2166666666666666,-1.3333333333333333,-1.5,-1.5166666666666666,-1.7,-1.7333333333333334,-1.6666666666666667,-2.1666666666666665
1,-0.7,-0.7333333333333333,-1.2166666666666666,-1.3333333333333333,-1.5,-1.5166666666666666,-1.7,-1.7333333333333334,-1.6666666666666667,-2.816666666666667
2,-0.7,-0.7333333333333333,-1.2166666666666666,-1.3333333333333333,-1.5,-1.5166666666666666,-1.7,-2.8666666666666667,-1.6666666666666667,-2.183333333333333
3,-1.8166666666666669,-1.8333333333333333,-2.7666666666666666,-3.716666666666667,-4.75,-4.766666666666667,-6.666666666666667,-4.55,-6.633333333333334,-5.416666666666667
4,-0.7,-0.7333333333333333,-1.2166666666666666,-1.3333333333333333,-1.5,-1.5166666666666666,-2.0166666666666666,-1.7166666666666666,-1.6666666666666667,-2.183333333333333
5,-1.8166666666666669,-1.8333333333333333,-2.7666666666666666,-3.716666666666667,-4.75,-5.65,-4.4,-6.666666666666667,-6.633333333333334,-5.416666666666667
6,-1.8166666666666669,-1.8333333333333333,-2.7666666666666666,-3.716666666666667,-4.75,-4.766666666666667,-4.416666666666667,-4.516666666666667,-5.766666666666667,-6.7
7,-1.8166666666666669,-1.8333333333333333,-2.7666666666666666,-3.716666666666667,-4.75,-4.766666666666667,-4.416666666666667,-4.516666666666667,-6.633333333333334,-5.416666666666667
8,-0.7,-0.7333333333333333,-1.2166666666666666,-1.3333333333333333,-1.5,-1.5166666666666666,-1.6666666666666667,-1.7333333333333334,-2.8666666666666667,-2.1666666666666665
9,-1.8166666666666669,-1.8333333333333333,-2.7666666666666666,-3.716666666666667,-4.75,-4.766666666666667,-6.616666666666666,-6.666666666666667,-3.883333333333333,-5.45
10,-1.8166666666666669,-1.8333333333333333,-2.7666666666666666,-3.716666666666667,-4.75,-5.65,-6.666666666666667,-4.483333333333333,-3.883333333333333,-7.633333333333334
11,-1.8166666666666669,-1.8333333333333333,-2.7666666666666666,-3.716666666666667,-4.75,-5.633333333333334,-6.616666666666666,-4.483333333333333,-3.883333333333333,-5.416666666666667
12,-1.8166666666666669,-1.8333333333333333,-2.7666666666666666,-3.716666666666667,-4.75,-5.65,-3.9,-6.633333333333334,-3.883333333333333,-7.6
