detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,7
-23283579#1,7
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,7
-28675510#5,5
-297047307,62
-297047310#2,25
-297047310#3,25
-309744810#1,12
-4936412,47
-8716807#0,13
-8716807#4,13
-8716807#5,13
133081985#0,40
133081985#1,40
133081987#0,47
133081987#3,59
186623965#15,0
22917421#5,5
22959550#0,28
22959550#1,15
22959550#3,15
22959550#4,15
23283435#1,7
23647126,13
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,60
28675510#1,82
28675510#4,20
297047310#4,9
