detid,flow
-186623965#14,33
-186623965#16,11
-22917421#14,20
-23283579#0,11
-23283579#1,11
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,10
-28675510#5,11
-297047307,54
-297047310#2,31
-297047310#3,31
-309744810#1,12
-4936412,47
-8716807#0,12
-8716807#4,12
-8716807#5,12
133081985#0,36
133081985#1,36
133081987#0,47
133081987#3,59
186623965#15,0
22917421#5,11
22959550#0,22
22959550#1,10
22959550#3,10
22959550#4,10
23283435#1,11
23647126,12
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,59
28675510#1,79
28675510#4,20
297047310#4,1
