detid,flow
-186623965#14,31
-186623965#16,10
-22917421#14,20
-23283579#0,17
-23283579#1,17
-23648008#0,53
-23648008#1,7
-25166682#0,53
-28675510#3,6
-28675510#5,3
-297047307,63
-297047310#2,23
-297047310#3,23
-309744810#1,1
-4936412,47
-8716807#0,13
-8716807#4,13
-8716807#5,13
133081985#0,30
133081985#1,30
133081987#0,47
133081987#3,48
186623965#15,0
22917421#5,3
22959550#0,30
22959550#1,17
22959550#3,17
22959550#4,17
23283435#1,17
23647126,13
23648008#1,7
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,60
28675510#1,83
28675510#4,20
297047310#4,10
