detid,flow
-186623965#14,32
-186623965#16,10
-22917421#14,20
-23283579#0,6
-23283579#1,6
-23648008#0,53
-23648008#1,11
-25166682#0,53
-28675510#3,9
-28675510#5,13
-297047307,58
-297047310#2,33
-297047310#3,33
-309744810#1,14
-4936412,47
-8716807#0,16
-8716807#4,16
-8716807#5,16
133081985#0,41
133081985#1,41
133081987#0,47
133081987#3,61
186623965#15,0
22917421#5,13
22959550#0,20
22959550#1,4
22959550#3,4
22959550#4,4
23283435#1,6
23647126,16
23648008#1,11
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,63
28675510#1,76
28675510#4,20
297047310#4,5
