detid,flow
-186623965#14,33
-186623965#16,10
-22917421#14,20
-23283579#0,12
-23283579#1,12
-23648008#0,53
-23648008#1,9
-25166682#0,53
-28675510#3,5
-28675510#5,6
-297047307,58
-297047310#2,26
-297047310#3,26
-309744810#1,10
-4936412,47
-8716807#0,10
-8716807#4,10
-8716807#5,10
133081985#0,35
133081985#1,35
133081987#0,47
133081987#3,57
186623965#15,0
22917421#5,6
22959550#0,27
22959550#1,17
22959550#3,17
22959550#4,17
23283435#1,12
23647126,10
23648008#1,9
23686088#0,47
23686088#1,47
23840713#0,60
23840971,59
28675510#0,57
28675510#1,79
28675510#4,20
297047310#4,5
