detid,flow
-186623965#14,32
-186623965#16,11
-22917421#14,20
-23283579#0,17
-23283579#1,17
-23648008#0,53
-23648008#1,4
-25166682#0,53
-28675510#3,4
-28675510#5,4
-297047307,64
-297047310#2,24
-297047310#3,24
-309744810#1,4
-4936412,47
-8716807#0,12
-8716807#4,12
-8716807#5,12
133081985#0,30
133081985#1,30
133081987#0,47
133081987#3,51
186623965#15,0
22917421#5,4
22959550#0,29
22959550#1,17
22959550#3,17
22959550#4,17
23283435#1,17
23647126,12
23648008#1,4
23686088#0,47
23686088#1,47
23840713#0,60
23840971,60
28675510#0,59
28675510#1,80
28675510#4,20
297047310#4,11
