travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
6.366666666666666,0,Human,1,0,0,99,-6.366666666666666,"-50.95307607435056,-51.6521599256755,-49.94053533174254"
1.2666666666666666,1,Human,0,1,0,58,-1.2666666666666666,"-19.01180361304275,-18.824130191516147,-19.284124534575447"
7.266666666666667,2,Human,1,0,0,112,-7.266666666666667,"-56.65995287998479,-57.692914036746046,-55.4968871806479"
5.733333333333333,3,Human,2,0,0,118,-5.733333333333333,"-59.44451679777031,-60.6873043789053,-60.46698728747131"
1.4166666666666667,4,Human,0,1,0,31,-1.4166666666666667,"-18.44982704074877,-18.113443668508758,-18.77918390604503"
1.7,5,Human,0,0,0,50,-1.7,"-25.40588851511531,-25.5489682977435,-25.126096510668173"
4.516666666666667,6,Human,2,0,0,93,-4.516666666666667,"-43.49487978826939,-44.3383184675132,-44.50029829325402"
4.916666666666667,7,Human,1,0,0,80,-4.916666666666667,"-36.97563168332696,-37.79107047836149,-37.40189483074236"
2.066666666666667,8,Human,0,1,0,89,-2.066666666666667,"-31.65998083676468,-31.359697906916146,-31.2655517361072"
3.7666666666666666,9,Human,0,1,1,64,-3.7666666666666666,"-52.01413302714009,-51.71640993110505,-51.23164745297033"
5.516666666666667,10,Human,2,0,0,116,-5.516666666666667,"-57.87947330341624,-59.35627595102727,-58.97884018908952"
5.933333333333334,11,Human,0,1,1,113,-5.933333333333334,"-71.94092307988066,-70.38437026610973,-70.20268522502248"
2.066666666666667,12,Human,0,1,0,91,-2.066666666666667,"-30.980569254304537,-31.23562278456702,-31.220255932276704"
5.1,13,Human,1,0,1,123,-5.1,"-52.99420510502582,-53.00457714338971,-52.428663248781575"
4.483333333333333,14,Human,2,0,0,104,-4.483333333333333,"-50.50346495960528,-50.0219070014848,-50.75151568092365"
2.15,15,Human,0,1,0,64,-2.15,"-27.87894283088603,-28.188927194666018,-27.38775732155631"
6.216666666666667,16,Human,2,1,1,101,-6.216666666666667,"-65.88336384352704,-65.70456989031352,-67.01599241954942"
3.433333333333333,17,Human,1,1,0,61,-3.433333333333333,"-29.5397423040802,-29.998562847134977,-29.036628232062412"
2.9833333333333334,18,Human,0,1,0,116,-2.9833333333333334,"-38.68478581434581,-38.04561213097994,-38.76857390085558"
3.783333333333333,19,Human,2,1,0,88,-3.783333333333333,"-30.042654303001616,-30.389930327372912,-30.866982448605725"
4.95,20,Human,0,1,1,84,-4.95,"-61.99861251030419,-60.78089634104371,-62.33902547358722"
3.9,21,Human,2,0,0,69,-3.9,"-37.68201529157105,-38.16866389935437,-38.418545403607844"
7.116666666666666,22,Human,1,0,0,126,-7.116666666666666,"-58.254233848138725,-59.86461422570946,-59.29874067651489"
3.75,23,Human,2,1,0,85,-3.75,"-30.434957986781917,-30.213297085169284,-30.88942614953111"
4.883333333333334,24,Human,1,0,0,77,-4.883333333333334,"-36.77408245804809,-37.987573374124125,-36.520246077802334"
4.95,25,Human,0,1,1,79,-4.95,"-59.89895444047267,-59.0241483974724,-59.48448945218184"
7.583333333333333,26,Human,2,1,1,105,-7.583333333333333,"-69.7122293105276,-69.32751397507309,-71.36272602494557"
4.15,27,Human,2,0,1,100,-4.15,"-40.64560697208618,-40.49801594031487,-41.39131102250179"
3.033333333333333,28,Human,1,1,0,102,-3.033333333333333,"-33.67604904693828,-34.52461105164655,-34.23863816155895"
2.816666666666667,29,Human,0,1,0,102,-2.816666666666667,"-33.65733950477576,-33.33410676619577,-33.46094217607849"
7.9,30,Human,1,0,0,154,-7.9,"-62.76360049932415,-64.49780765357119,-63.264951772833086"
3.1333333333333333,31,Human,2,0,1,77,-3.1333333333333333,"-29.135005705682467,-29.163681290159506,-29.70450295701166"
5.133333333333334,32,Human,2,1,1,74,-5.133333333333334,"-53.0391108274458,-53.12656527677854,-52.9457057193831"
2.9166666666666665,33,Human,1,0,1,65,-2.9166666666666665,"-22.785722684354855,-23.49556579693461,-23.22022984225899"
4.6,34,Human,0,0,0,108,-4.6,"-55.426759791237686,-55.52753465484929,-54.78806550826521"
5.133333333333334,35,Human,1,0,1,123,-5.133333333333334,"-53.19306344153989,-53.31549984612894,-52.83261024300622"
6.433333333333334,36,Human,1,1,1,86,-6.433333333333334,"-59.95885403134335,-61.388738484116615,-61.59128583474878"
2.716666666666667,37,Human,2,0,0,64,-2.716666666666667,"-28.752987424919574,-28.784164723303974,-29.30392864649308"
3.4833333333333334,38,Human,1,1,0,65,-3.4833333333333334,"-29.499750609809695,-30.487458945067274,-29.48194947922628"
6.066666666666666,39,Human,0,1,1,109,-6.066666666666666,"-72.85031339901391,-71.88572784560057,-72.01382994124056"
3.683333333333333,40,Human,1,1,0,112,-3.683333333333333,"-38.49948260028795,-38.72999511112707,-37.67759773631123"
3.05,41,Human,0,1,0,106,-3.05,"-36.68309370334277,-36.404526921410074,-36.732068528785554"
3.1666666666666665,42,Human,2,0,1,70,-3.1666666666666665,"-29.423519120445384,-29.302319267374415,-30.25395320890642"
4.7,43,Human,0,1,1,96,-4.7,"-60.09237634905752,-58.77172596235455,-59.96850960358603"
3.1333333333333333,44,Human,1,1,0,93,-3.1333333333333333,"-30.75851538526722,-31.141235824709838,-31.06655364709532"
4.183333333333334,45,Human,2,0,1,96,-4.183333333333334,"-40.93324134869265,-40.823938464484485,-41.8798828762239"
5.566666666666666,46,Human,2,0,0,116,-5.566666666666666,"-58.272922809251085,-59.477787933340345,-59.32835707282252"
4.233333333333333,47,Human,0,0,0,96,-4.233333333333333,"-50.70464457851826,-50.52078850493979,-49.4117182978175"
3.9166666666666665,48,Human,0,0,1,110,-3.9166666666666665,"-42.89095679871992,-42.29116655264355,-41.730013975089705"
4.033333333333333,49,Human,0,0,1,92,-4.033333333333333,"-34.45111732736233,-33.980606163185804,-33.58745879830343"
6.183333333333334,50,Human,0,1,1,98,-6.183333333333334,"-70.96888872816763,-69.17496810763308,-71.12401598530934"
3.1666666666666665,51,Human,1,1,0,108,-3.1666666666666665,"-35.62340448318119,-36.3295307362088,-36.59501211779673"
1.8,52,Human,0,0,1,46,-1.8,"-18.611537241348394,-18.3046153228385,-18.327546771341435"
2.183333333333333,53,Human,0,1,0,80,-2.183333333333333,"-30.816598582739434,-30.619236600702855,-30.659567320885685"
5.066666666666666,54,Human,0,1,1,75,-5.066666666666666,"-60.06048890304727,-58.910455572967905,-59.0917694736624"
3.2,55,Human,2,0,1,70,-3.2,"-29.68412880844886,-29.597691565045654,-30.488606968191355"
2.8,56,Human,1,0,1,81,-2.8,"-29.530251257007414,-29.525105469627157,-28.932546567932818"
5.5,57,Human,2,0,0,134,-5.5,"-57.18850656931659,-59.14575457933269,-58.69148762563318"
3.15,58,Human,2,1,0,64,-3.15,"-29.12005260017001,-30.021526319234205,-29.748165114629717"
5.133333333333334,59,Human,1,0,1,119,-5.133333333333334,"-53.266598491363084,-53.29987290940061,-52.52767601432976"
1.7,60,Human,0,0,0,39,-1.7,"-23.193691349951642,-23.477163531987337,-23.295198711902525"
5.05,61,Human,2,1,1,79,-5.05,"-58.263126833716036,-59.119467276942515,-58.5696953565697"
4.55,62,Human,2,0,0,94,-4.55,"-46.021806245639205,-46.819545697392684,-47.09048386743369"
5.983333333333333,63,Human,0,1,1,107,-5.983333333333333,"-71.0602531998204,-69.84128669035485,-69.62988149700405"
5.45,64,Human,2,0,0,111,-5.45,"-55.78008757607129,-55.95384050185698,-57.18168165415031"
5.466666666666667,65,Human,2,0,0,113,-5.466666666666667,"-58.021022734578914,-56.779582418367035,-58.36208768132666"
3.1166666666666667,66,Human,2,0,1,79,-3.1166666666666667,"-28.99773322863818,-29.097514560787022,-29.655409076756445"
2.816666666666667,67,Human,0,0,0,76,-2.816666666666667,"-37.311956342749816,-36.594330061807796,-37.51547021399835"
5.183333333333334,68,Human,1,0,1,115,-5.183333333333334,"-53.048697696085995,-53.68030042137148,-52.98540860932599"
2.9,69,Human,1,0,1,84,-2.9,"-29.730127201065184,-30.139756192482917,-29.670897479110305"
1.3333333333333333,70,Human,0,1,0,51,-1.3333333333333333,"-19.446903215584065,-19.531491948072713,-19.72105029155442"
1.7166666666666666,71,Human,0,0,1,56,-1.7166666666666666,"-18.35545777098088,-17.83846606458896,-18.39274392453093"
5.3,72,Human,2,1,1,62,-5.3,"-46.20635930317955,-47.296603504207,-47.527902654244635"
6.216666666666667,73,Human,1,1,1,104,-6.216666666666667,"-68.10394554853652,-69.69612238982104,-70.22815254108735"
3.85,74,Human,0,0,0,94,-3.85,"-47.68237129560907,-47.871396392924474,-46.680020969080836"
4.65,75,Human,0,0,0,110,-4.65,"-56.36550277864312,-56.44310686649939,-55.16396988451132"
2.033333333333333,76,Human,0,1,0,77,-2.033333333333333,"-30.051581148557144,-29.531476243357794,-29.496546690879345"
4.233333333333333,77,Human,0,0,0,94,-4.233333333333333,"-50.922772355962756,-50.096090733656325,-49.69345083774529"
4.633333333333334,78,Human,0,0,0,108,-4.633333333333334,"-56.132545309046925,-55.67643016605912,-54.86888440162779"
4.0,79,Human,0,0,0,80,-4.0,"-43.26919436413648,-43.00262955888406,-42.520747540903976"
4.183333333333334,80,Human,0,0,0,103,-4.183333333333334,"-50.56146245191618,-50.00396877467828,-50.46019269016222"
3.966666666666667,81,Human,2,1,0,70,-3.966666666666667,"-29.696719707930395,-30.09979826383892,-30.663109105061526"
3.15,82,Human,2,0,1,79,-3.15,"-29.315200490147756,-29.435913194693168,-29.88454881559269"
2.0833333333333335,83,Human,0,1,0,78,-2.0833333333333335,"-29.797438174535632,-29.524664038270455,-29.392706088818702"
1.7,84,Human,0,0,1,54,-1.7,"-17.861477748407268,-17.64297505531045,-17.337157141283033"
4.116666666666666,85,Human,2,0,1,104,-4.116666666666666,"-40.35233505169368,-40.84076758568351,-40.867733920473405"
3.4,86,Human,1,1,0,75,-3.4,"-29.377129571771786,-30.347235613373943,-29.396889276238216"
3.5833333333333335,87,Human,2,0,0,90,-3.5833333333333335,"-42.145226933986784,-43.026094906818315,-42.42661769872884"
7.566666666666666,88,Human,2,1,1,104,-7.566666666666666,"-69.01428251802646,-69.72319320330011,-70.61022183748157"
7.566666666666666,89,Human,2,1,1,103,-7.566666666666666,"-67.29272462372083,-67.08943279401251,-69.01722178125257"
3.65,90,Human,1,1,0,109,-3.65,"-38.211420378593665,-38.64713465762914,-38.029047175469216"
3.933333333333333,91,Human,0,0,0,87,-3.933333333333333,"-43.8882523818322,-43.496276001973875,-42.75800388979668"
6.633333333333334,92,Human,1,1,1,77,-6.633333333333334,"-61.11313223894023,-62.35123232663672,-60.80612649859797"
5.066666666666666,93,Human,1,0,0,87,-5.066666666666666,"-41.99278044849164,-42.6420065911284,-42.35346340502696"
1.7333333333333334,94,Human,0,0,0,39,-1.7333333333333334,"-23.564153328179906,-23.710757219470757,-23.402781846083876"
1.35,95,Human,0,1,0,46,-1.35,"-19.98324323610296,-19.76531606562287,-20.020387559899525"
1.3166666666666667,96,Human,0,1,0,50,-1.3166666666666667,"-19.15412455206438,-19.39133558188371,-19.587496005128482"
3.7666666666666666,97,Human,0,1,1,60,-3.7666666666666666,"-41.1758988721487,-40.58701666296792,-40.932129007901025"
4.183333333333334,98,Human,0,0,0,101,-4.183333333333334,"-50.87084663613622,-50.823108853508124,-49.732595495140586"
2.15,99,Human,0,1,0,62,-2.15,"-28.92305301747659,-28.75892580521166,-28.4082956662528"
